journey_id,school,date,channel_grouping,source,medium,campaign,country,touchpoint,total_touchpoints,stage,stage_idx,attribution_weight,status,closed_reason
BCS-0038,BCS,2026-06-19,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",4,5,D2 Enquiry,1,0.012792,Active,
BCS-0038,BCS,2026-06-21,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",5,5,D1 Lead,0,0.103672,Active,
BCS-0038,BCS,2026-06-21,OrganicSearch,google,organic,(organic),"Myanmar, Republic of the Union of",5,5,D2 Enquiry,1,0.076753,Active,
BCS-0039,BCS,2026-06-13,Direct,(direct),(none),(not set),United Kingdom,1,1,D1 Lead,0,0.156912,Active,
BCS-0039,BCS,2026-06-13,Direct,(direct),(none),(not set),United Kingdom,1,1,D2 Enquiry,1,0.152570,Active,
BCS-0040,BCS,2026-06-20,OrganicSearch,google,organic,(organic),Singapore,1,2,D1 Lead,0,0.129590,Active,
BCS-0040,BCS,2026-06-20,OrganicSearch,google,organic,(organic),Singapore,1,2,D2 Enquiry,1,0.095941,Active,
BCS-0040,BCS,2026-06-22,OrganicSearch,google,organic,(organic),Singapore,2,2,D1 Lead,0,0.129590,Active,
BCS-0040,BCS,2026-06-22,OrganicSearch,google,organic,(organic),Singapore,2,2,D2 Enquiry,1,0.095941,Active,
BCS-0041,BCS,2026-06-15,Offline,offline,offline,phone-enquiry,Singapore,1,1,D1 Lead,0,0.297094,Active,
BCS-0041,BCS,2026-06-15,Offline,offline,offline,phone-enquiry,Singapore,1,1,D2 Enquiry,1,0.396936,Active,
BCS-0042,BCS,2026-06-24,Referral,sg.search.yahoo.com,referral,(referral),Singapore,1,6,D1 Lead,0,0.007234,Active,
BCS-0042,BCS,2026-06-24,Referral,sg.search.yahoo.com,referral,(referral),Singapore,1,6,D2 Enquiry,1,0.009665,Active,
BCS-0042,BCS,2026-06-25,Referral,sg.search.yahoo.com,referral,(referral),Singapore,2,6,D1 Lead,0,0.000904,Active,
BCS-0042,BCS,2026-06-25,Referral,sg.search.yahoo.com,referral,(referral),Singapore,2,6,D2 Enquiry,1,0.001208,Active,
